IDENTIFIED UPVN 8
IDENTIFIED UVNI 213 / Alpha v1.0.15
SERVERBOUND --> 1 "Login Request" / 2 bytes
SERVERBOUND --> 1 "Login Request" / 26 bytes
CLIENTBOUND <-- 1 "Login Response" / 55 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
CLIENTBOUND <-- 50 "Pre-Chunk" / 10 bytes
